sku,name,category,type,state,imageUrl,reason
AGBG,Ash Gourd (Budida Gummadi) Pickle,Oils & Oil Seeds,finished,active,,no_image_url
AGRB,Agarbathi,Personal Care & Wellness,finished,active,,no_image_url
AJWN,Ajwain,Spices & Condiments,finished,active,,no_image_url
AKPD,Andukorra Papad,Millets & Millet Products,finished,active,,no_image_url
AMRS,Amaranth Seeds,Dry Fruits & Superfoods,finished,active,,no_image_url
ANPA,Anapa pappu,"Grains, Pulses & Flours",finished,active,,no_image_url
BAJA,Bajra,Millets & Millet Products,finished,active,,no_image_url
BAJA-SEMI,Semi Bajra (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
BGHK-SEMI,Semi Blackgram without Husk (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
BGRM-SEMI,Semi Blackgram whole (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
BGSC-SEMI,Semi Blackgram stone crushed (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
BHMP,Brahmi Powder,Personal Care & Wellness,finished,active,,no_image_url
BK01,Siridhanyalatho sampoorna Arogyam,"Grains, Pulses & Flours",consumable,active,,no_image_url
BK02,Siridhanyalu (sampoorna Arogyam),"Grains, Pulses & Flours",consumable,active,,no_image_url
BKRC-SEMI,Semi Black Rice (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
BKSL,Black Salt,Spices & Condiments,finished,active,,no_image_url
BLRC,Boiled Rice,Oils & Oil Seeds,finished,active,,no_image_url
BLVD,Bilva / Maredu Drink,Dry Fruits & Superfoods,finished,active,,no_image_url
BPSC,Black Pesalu Stone Crushed,"Grains, Pulses & Flours",finished,active,,no_image_url
BRAR-SEMI,Semi Black Rice Arisalu (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
BRCK,Bricks,Home Utilities,consumable,active,,no_image_url
BRLD,Borugulu Laddu,Sweets & Snacks,finished,active,,no_image_url
BRTI,Bajra rotti,Millets & Millet Products,finished,active,,no_image_url
BSMR,Besan murukulu,Sweets & Snacks,finished,active,,no_image_url
BTMT-SEMI,Semi Brown Top Millet (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
BTRC,Bathroom Cleaner,Personal Care & Wellness,finished,active,,no_image_url
BYLF,Bay Leaf,Spices & Condiments,finished,active,,no_image_url
BYMP,Barnyard Millet Poha,Millets & Millet Products,finished,active,,no_image_url
BYMP-SEMI,Semi Barnyard Millet Poha (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
BYMT,Barnyard Millet,Millets & Millet Products,finished,active,,no_image_url
BYMT-SEMI,Semi Barnyard Millet (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
CARD,Cardamom,Spices & Condiments,finished,active,,no_image_url
CART,cartridge (filled),"Grains, Pulses & Flours",consumable,active,,no_image_url
CCAK,Coconut Cake,Oils & Oil Seeds,finished,active,,no_image_url
CGWP,Cashew Granules with Palm Jaggery,Oils & Oil Seeds,finished,active,,no_image_url
CHBK-SEMI,Semi Channa (black) (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
CHDL-SEMI,Semi Channa Dal (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
CHIA,Chia Seeds,Dry Fruits & Superfoods,finished,active,,no_image_url
CHPW,Chilli Powder,Spices & Condiments,finished,active,,no_image_url
CHWH-SEMI,Semi Channa (white) (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
CINN,Cinnamon,Spices & Condiments,finished,active,,no_image_url
CMRC,Chitti Muthyalu rice,"Grains, Pulses & Flours",finished,active,,no_image_url
CMRC-SEMI,Semi Chitti Muthyalu rice (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
CNLD,Coconut Laddu,Sweets & Snacks,finished,active,,no_image_url
COAL,Coal,Home Utilities,consumable,active,,no_image_url
COFP,Coffee Powder,Sweets & Snacks,finished,active,,no_image_url
CONS-CTN-12,Carton box (holds 12 bottles),"Grains, Pulses & Flours",consumable,active,,no_image_url
CONS-POUCH-LG,Inner pouch (large) - for 30pcs packs,"Grains, Pulses & Flours",consumable,active,,no_image_url
CONS-POUCH-SM,Inner pouch (small) - for 10pcs packs,"Grains, Pulses & Flours",consumable,active,,no_image_url
CONS-SHRINK,Shrink wrap (per metre),"Grains, Pulses & Flours",consumable,active,,no_image_url
CONS-VITAMIN-E,Vitamin E premix,"Grains, Pulses & Flours",consumable,active,,no_image_url
CPLT,Copper Plate,Personal Care & Wellness,finished,active,,no_image_url
CRPK,Coriander Leaf Pickle,Spices & Condiments,finished,active,,no_image_url
CSHW,Cashew,Dry Fruits & Superfoods,finished,active,,no_image_url
CTPK,Chintha tokku pickle,Spices & Condiments,finished,discontinued,,no_image_url
CWPA-SEMI,Semi CowPea (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
CWPD,Cowpea Dal,"Grains, Pulses & Flours",finished,active,,no_image_url
CWPD-SEMI,Semi Cowpea Dal (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
DATE,Dates,Dry Fruits & Superfoods,finished,active,,no_image_url
DBR1,DIABETIC RICE,"Grains, Pulses & Flours",finished,active,,no_image_url
DBRC,Desi Basmati Rice,"Grains, Pulses & Flours",finished,active,,no_image_url
DBRC-SEMI,Semi Desi Basmati Rice (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
DCGH,Desi cow ghee pvs,Oils & Oil Seeds,finished,active,,no_image_url
DDPD,Dry Dates powder,Dry Fruits & Superfoods,finished,active,,no_image_url
FCDL-SEMI,Semi Fried Channa dal (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
FGRN,Fried Groundnuts,Oils & Oil Seeds,finished,active,,no_image_url
FLCC,Floor Cleaner,Personal Care & Wellness,finished,active,,no_image_url
FRPL-SEMI,Semi Fine Rice (Single Polish) (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
FRUP-SEMI,Semi Fine Rice (Unpolished) (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
FXBR,Flaxseed Burfie,Sweets & Snacks,finished,active,,no_image_url
FXMP,Foxtail Millet Poha,Millets & Millet Products,finished,active,,no_image_url
FXMP-SEMI,Semi Foxtail Millet Poha (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
FXTM-SEMI,Semi Foxtail Millet (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
GCAK,Groundnut Cake,Oils & Oil Seeds,finished,active,,no_image_url
GGDL-SEMI,Semi Greengram Dal / stone crushed (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
GNDK,Gond Katira,Dry Fruits & Superfoods,finished,active,,no_image_url
GNGP,Ginger Powder,Spices & Condiments,finished,active,,no_image_url
GNMS,Groundnut Masala,Sweets & Snacks,finished,active,,no_image_url
GOIL-UNFILT,Unfiltered Groundnut Oil,Oils & Oil Seeds,semi,active,,no_image_url
GWP-SEMI,Semi Greengram Whole/ Pesalu (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
HCKR,Herbal Cockroach Repellent,Personal Care & Wellness,finished,active,,no_image_url
HDRO,Headache relief oil,Oils & Oil Seeds,finished,active,,no_image_url
HGDL-SEMI,Semi Horsegram dal (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
HGWH-SEMI,Semi Horsegram whole (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
HLDW,Herbal Liquid Dish Wash,Personal Care & Wellness,finished,active,,no_image_url
HLZR,Herbal Lizard Repellent Spray,Personal Care & Wellness,finished,active,,no_image_url
HNYF,Forest Honey,Natural Sweeteners,finished,active,,no_image_url
HNYG,Honey (Farm Collection) Glass,Sweets & Snacks,finished,active,,no_image_url
HNYT,Tree Bark Honey,Sweets & Snacks,finished,active,,no_image_url
IAUM,Instant Arika Upma Mix,Millets & Millet Products,finished,active,,no_image_url
IDLT,Idly Ravva (Little Millet),Millets & Millet Products,finished,active,,no_image_url
IKUM,Instant Korra Upma Mix,Spices & Condiments,finished,active,,no_image_url
IMPM,Instant Millet Pongal Mix,Millets & Millet Products,finished,active,,no_image_url
IMPM-SEMI,Semi Instant Millet Pongal Mix (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
IRKM,Idly Ravva (Kodo Millet ),Millets & Millet Products,finished,active,,no_image_url
JAGB,jaggery Small Balls,Natural Sweeteners,finished,active,,no_image_url
JJSP-SEMI,Semi jowar(Jonna ) Spicy Pops (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
JNPT-SEMI,Semi Jonna Nippatta (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
JPTR,Japatri,Spices & Condiments,finished,active,,no_image_url
JRTI,Jowar rotti,Millets & Millet Products,finished,active,,no_image_url
JWPH,Jowar Poha,Millets & Millet Products,finished,active,,no_image_url
JWPH-SEMI,Semi Jowar Poha (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
JWWH,Jonnalu (white)/ Jowar,Millets & Millet Products,finished,active,,no_image_url
JWWH-SEMI,Semi Jonnalu (white)/ Jowar (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
JWYL-SEMI,Semi Jowar (Yellow) (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
KDMP,Kodo Millet Poha,Millets & Millet Products,finished,active,,no_image_url
KDMP-SEMI,Semi Kodo Millet Poha (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
KDMT,Kodo Millet,Millets & Millet Products,finished,active,,no_image_url
KDMT-SEMI,Semi Kodo Millet (milled),"Grains, Pulses & Flours",semi,active,,no_image_url
KLNJ,Kalonji seeds,Dry Fruits & Superfoods,finished,active,,no_image_url
KRPD,Korra Papad,Spices & Condiments,finished,active,,no_image_url
KSGR,Khandsari sugar,Natural Sweeteners,finished,active,,no_image_url
KSME,Kasuri Methi,Spices & Condiments,finished,active,,no_image_url
KTCC,Kitchen Cleaner Spray,Personal Care & Wellness,finished,active,,no_image_url
KTRM,Kasturi Turmeric,Spices & Condiments,finished,active,,no_image_url
KWDP,kitchen waste digester powder,Personal Care & Wellness,finished,active,,no_image_url
KWDT,kitchen waste digester tin,Personal Care & Wellness,finished,active,,no_image_url
LMST,Lime Stone,Home Utilities,consumable,active,,no_image_url
LTMF,Little Millet Flour,Millets & Millet Products,finished,active,,no_image_url
LTMT,Little Millet,Millets & Millet Products,finished,active,,no_image_url
